ID,Title,Abstract,Authors,Source_title
10,Is our breathing optimal? Solving a piecewise linear model with constraints,This paper is motivated by a question related to the control of amplitude and frequency of breathing  We present a simplified mathematical model  consisting of two piecewise linear ordinary differential equations  that could represent gas exchange in the lungs  We then define and solve an optimal control problem with unknown durations of inhalation and exhalation  subject to several constraints  The durations are divided such that one of the state variables is strictly increasing during the first phase and decreasing during the second phase  The optimal control problem can be solved analytically  One analytical solution is found when the forcing is a given sinusoidal function with unknown period and amplitude  Other analytical solutions are found when the forcing function  the period and the duration of the first phase are unknown but the amplitude is given  Our results show that different cost functions can produce different optimal forcing functions  We also show that the shape of these functions does not affect the average levels of oxygen in the lungs the average level of oxygen is only dependent on the amplitude and period of breathing in the model we present     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Zaidi F.; Ben-Tal A.; Roberts M.,Journal of Mathematical Biology
11,On convergence for hybrid models of gene regulatory networks under polytopic uncertainties: a Lyapunov approach,Hybrid models of genetic regulatory networks allow for a simpler analysis with respect to fully detailed quantitative models  still maintaining the main dynamical features of interest  In this paper we consider a piecewise affine model of a genetic regulatory network  in which the parameters describing the production function are affected by polytopic uncertainties  In the first part of the paper  after recalling how the problem of finding a Lyapunov function is solved in the nominal case  we present the considered polytopic uncertain system and then  after describing how to deal with sliding mode solutions  we prove a result of existence of a parameter dependent Lyapunov function subject to the solution of a feasibility linear matrix inequalities problem  In the second part of the paper  based on the previously described Lyapunov function  we are able to determine a set of domains where the system is guaranteed to converge  with the exception of a zero measure set of times  independently from the uncertainty realization  Finally a three nodes network example shows the validity of the results     0    The Author s  ,Pasquini M.; Angeli D.,Journal of Mathematical Biology
12,Multivariate phase-type theory for the site frequency spectrum,Linear functions of the site frequency spectrum  SFS  play a major role for understanding and investigating genetic diversity  Estimators of the mutation rate  e g  based on the total number of segregating sites or average of the pairwise differences  and tests for neutrality  e g  Tajima s D  are perhaps the most well known examples  The distribution of linear functions of the SFS is important for constructing confidence intervals for the estimators  and to determine significance thresholds for neutrality tests  These distributions are often approximated using simulation procedures  In this paper we use multivariate phase type theory to specify  characterize and calculate the distribution of linear functions of the site frequency spectrum  In particular  we show that many of the classical estimators of the mutation rate are distributed according to a discrete phase type distribution  Neutrality tests  however  are generally not discrete phase type distributed  For neutrality tests we derive the probability generating function using continuous multivariate phase type theory  and numerically invert the function to obtain the distribution  A main result is an analytically tractable formula for the probability generating function of the SFS  Software implementation of the phase type methodology is available in the R package PhaseTypeR  and R code for the reproduction of our results is available as an accompanying vignette     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Hobolth A.; Bladt M.; Andersen L.N.,Journal of Mathematical Biology
13,A stochastic eco-epidemiological system with patchy structure and transport-related infection,In this paper  a stochastic eco epidemiological system with patchy structure and transport related infection is proposed and the stochastic dynamical behaviors are investigated  Firstly  by constructing suitable Lyapunov functions  it is revealed that there is a unique globally positive solution starting from the positive initial value  Secondly  it is proved that the presented system is stochastically ultimately bounded and the average in time of the second moment of solution is bounded  Thirdly  we prove that the large enough stochastic perturbations may lead the predator population and the diseases in the predator to be extinct while it is persistent in the deterministic system  Finally  some numerical simulations are given to test our theoretical results     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Ma Z.; Han S.; Li S.,Journal of Mathematical Biology
14,Modeling the voltage distribution in a non-locally but globally electroneutral confined electrolyte medium: applications for nanophysiology,The distribution of voltage in sub micron cellular domains remains poorly understood  In neurons  the voltage results from the difference in ionic concentrations which are continuously maintained by pumps and exchangers  However  it not clear how electro neutrality could be maintained by an excess of fast moving positive ions that should be counter balanced by slow diffusing negatively charged proteins  Using the theory of electro diffusion  we study here the voltage distribution in a generic domain  which consists of two concentric disks  resp  ball  in two  resp  three  dimensions  where a negative charge is fixed in the inner domain  When global but not local electro neutrality is maintained  we solve the Poisson Nernst Planck equation both analytically and numerically in dimension    flat  and    cylindrical  and found that the voltage changes considerably on a spatial scale which is much larger than the Debye screening length  which assumes electro neutrality  The present result suggests that long range voltage drop changes are expected in neuronal microcompartments  probably relevant to explain the activation of far away voltage gated channels located on the surface membrane     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Tricot A.; Sokolov I.M.; Holcman D.,Journal of Mathematical Biology
15,Parameter estimation in fluorescence recovery after photobleaching: quantitative analysis of protein binding reactions and diffusion,Fluorescence recovery after photobleaching  FRAP  is a common experimental method for investigating rates of molecular redistribution in biological systems  Many mathematical models of FRAP have been developed  the purpose of which is usually the estimation of certain biological parameters such as the diffusivity and chemical reaction rates of a protein  this being accomplished by fitting the model to experimental data  In this article  we consider a two species reaction diffusion FRAP model  Using asymptotic analysis  we derive new FRAP recovery curve approximation formulae  and formally re derive existing ones  On the basis of these formulae  invoking the concept of Fisher information  we predict  in terms of biological and experimental parameters  sufficient conditions to ensure that the values all model parameters can be estimated from data  We verify our predictions with extensive computational simulations  We also use computational methods to investigate cases in which some or all biological parameters are theoretically inestimable  In these cases  we propose methods which can be used to extract the maximum possible amount of information from the FRAP data     0    The Author s  ,Williamson D.E.; Sahai E.; Jenkins R.P.; O’Dea R.D.; King J.R.,Journal of Mathematical Biology
16,Evolutionary bet-hedging in structured populations,As ecosystems evolve  species can become extinct due to fluctuations in the environment  This leads to the evolutionary adaption known as bet hedging  where species hedge against these fluctuations to reduce their likelihood of extinction  Environmental variation can be either within or between generations  Previous work has shown that selection for bet hedging against within generational variation should not occur in large populations  However  this work has been limited by assumptions of well mixed populations  whereas real populations usually have some degree of structure  Using the framework of evolutionary graph theory  we show that through adding competition structure to the population  within generational variation can have a significant impact on the evolutionary process for any population size  This complements research using subdivided populations  which suggests that within generational variation is important when local population sizes are small  Together  these conclusions provide evidence to support observations by some ecologists that are contrary to the widely held view that only between generational environmental variation has an impact on natural selection  This provides theoretical justification for further empirical study into this largely unexplored area     0    The Author s  ,Overton C.E.; Sharkey K.J.,Journal of Mathematical Biology
17,Geometric singular perturbation theory analysis of an epidemic model with spontaneous human behavioral change,We consider a model due to Piero Poletti and collaborators that adds spontaneous human behavioral change to the standard SIR epidemic model  In its simplest form  the Poletti model adds one differential equation  motivated by evolutionary game theory  to the SIR model  The new equation describes the evolution of a variable x that represents the fraction of the population following normal behavior  The remaining fraction     x uses altered behavior such as staying home  social isolation  mask wearing  etc  Normal behavior offers a higher payoff when the number of infectives is low  altered behavior offers a higher payoff when the number is high  We show that the entry exit function of geometric singular perturbation theory can be used to analyze the model in the limit in which behavior changes on a much faster time scale than that of the epidemic  In particular  behavior does not change as soon as a different behavior has a higher payoff  current behavior is sticky  The delay until behavior changes is predicted by the entry exit function     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Schecter S.,Journal of Mathematical Biology
18,Spectral properties of a non-compact operator in ecology,Ecologists have recently used integral projection models  IPMs  to study fish and other animals which continue to grow throughout their lives  Such animals cannot shrink  since they have bony skeletons  a mathematical consequence of this is that the kernel of the integral projection operator T is unbounded  and the operator is not compact  To our knowledge  all theoretical work done on IPMs has assumed the operator is compact  and in particular has a bounded kernel  A priori  it is unclear whether these IPMs have an asymptotic growth rate    or a stable stage distribution    In the case of a compact operator  these quantities are its spectral radius and the associated eigenvector  respectively  Under biologically reasonable assumptions  we prove that the non compact operators in these IPMs share some important traits with their compact counterparts  the operator T has a unique positive eigenvector   corresponding to its spectral radius    this   is strictly greater than the supremum of the modulus of all other spectral values  and for any nonnegative initial population    there is a c  0 such that Tn    n  c        0    This is a U S  government work and not under copyright protection in the U S   foreign copyright protection may apply ,Reichenbach M.; Rebarber R.; Tenhumberg B.,Journal of Mathematical Biology
19,On asymptotic joint distributions of cherries and pitchforks for random phylogenetic trees,Tree shape statistics provide valuable quantitative insights into evolutionary mechanisms underpinning phylogenetic trees  a commonly used graph representation of evolutionary relationships among taxonomic units ranging from viruses to species  We study two subtree counting statistics  the number of cherries and the number of pitchforks  for random phylogenetic trees generated by two widely used null tree models  the proportional to distinguishable arrangements  PDA  and the Yule Harding Kingman  YHK  models  By developing limit theorems for a version of extended P lya urn models in which negative entries are permitted for their replacement matrices  we deduce the strong laws of large numbers and the central limit theorems for the joint distributions of these two counting statistics for the PDA and the YHK models  Our results indicate that the limiting behaviour of these two statistics  when appropriately scaled using the number of leaves in the underlying trees  is independent of the initial tree used in the tree generating process     0    The Author s  ,Choi K.P.; Kaur G.; Wu T.,Journal of Mathematical Biology
20,Analysis of a mathematical model of immune response to fungal infection,Fungi are cells found as commensal residents  on the skin  and on mucosal surfaces of the human body  including the digestive track and urogenital track  but some species are pathogenic  Fungal infection may spread into deep seated organs causing life threatening infection  especially in immune compromised individuals  Effective defense against fungal infection requires a coordinated response by the innate and adaptive immune systems  In the present paper we introduce a simple mathematical model of immune response to fungal infection consisting of three partial differential equations  for the populations of fungi  F   neutrophils  N  and cytotoxic T cells  T   taking N and T to represent  respectively  the innate and adaptive immune cells  We denote by  F the aggressive proliferation rate of the fungi  by   and   the killing rates of fungi by neutrophils and T cells  and by N and T the immune strengths  respectively  of N and T of an infected individual  We take the expression I   N+  T   F to represent the coordinated defense of the immune system against fungal infection  We use mathematical analysis to prove the following  If I  0   then the infection is eventually stopped  and F  0 as t     and  ii  if I  0 then the infection cannot be stopped and F converges to some positive constant as t     Treatments of fungal infection include anti fungal agents and immunotherapy drugs  and both cause the parameter I to increase     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Friedman A.; Lam K.-Y.,Journal of Mathematical Biology
21,Stationary distributions of persistent ecological systems,We analyze ecological systems that are influenced by random environmental fluctuations  We first provide general conditions which ensure that the species coexist and the system converges to a unique invariant probability measure  stationary distribution   Since it is usually impossible to characterize this invariant probability measure analytically  we develop a powerful method for numerically approximating invariant probability measures  This allows us to shed light upon how the various parameters of the ecosystem impact the stationary distribution  We analyze different types of environmental fluctuations  At first we study ecosystems modeled by stochastic differential equations  In the second setting we look at piecewise deterministic Markov processes  These are processes where one follows a system of differential equations for a random time  after which the environmental state changes  and one follows a different set of differential equations this procedure then gets repeated indefinitely  Finally  we look at stochastic differential equations with switching  which take into account both the white noise fluctuations and the random environmental switches  As applications of our theoretical and numerical analysis  we look at competitive Lotka Volterra  Beddington DeAngelis predator prey  and rock paper scissors dynamics  We highlight new biological insights by analyzing the stationary distributions of the ecosystems and by seeing how various types of environmental fluctuations influence the long term fate of populations     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Hening A.; Li Y.,Journal of Mathematical Biology
22,"Exploring the sensitivity in jellyfish locomotion under variations in scale, frequency, and duty cycle",Jellyfish have been called one of the most energy efficient animals in the world due to the ease in which they move through their fluid environment  by product of their bell kinematics coupled with their morphological  muscular  material properties  We investigated jellyfish locomotion by conducting in silico comparative studies and explored swimming performance across different fluid scales  i e   Reynolds Number   bell contraction frequencies  and contraction phase kinematics  duty cycle  for a jellyfish with a fineness ratio of    ratio of bell height to bell diameter   To study these relationships  an open source implementation of the immersed boundary method was used  IB d  to solve the fully coupled fluid structure interaction problem of a flexible jellyfish bell in a viscous fluid  Thorough  D parameter subspace explorations illustrated optimal parameter combinations in which give rise to enhanced swimming performance  All performance metrics indicated a higher sensitivity to bell actuation frequency than fluid scale or duty cycle  via Sobol sensitivity analysis  on a higher performance parameter subspace  Moreover  Pareto like fronts were identified in the overall performance space involving the cost of transport and forward swimming speed  Patterns emerged within these performance spaces when highlighting different parameter regions  which complemented the global sensitivity results  Lastly  an open source computational model for jellyfish locomotion is offered to the science community that can be used as a starting place for future numerical experimentation     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Miles J.G.; Battista N.A.,Journal of Mathematical Biology
23,Adaptation in a heterogeneous environment I: persistence versus extinction,Understanding how a diversity of plants in agroecosystems affects the adaptation of pathogens is a key issue in agroecology  We analyze PDE systems describing the dynamics of adaptation of two phenotypically structured populations  under the effects of mutation  selection and migration in a two patch environment  each patch being associated with a different phenotypic optimum  We consider two types of growth functions that depend on the n dimensional phenotypic trait  either local and linear or nonlocal nonlinear  In both cases  we obtain existence and uniqueness results as well as a characterization of the large time behaviour of the solution  persistence or extinction  based on the sign of a principal eigenvalue  We show that migration between the two environments decreases the chances of persistence  with in some cases a  lethal migration threshold  above which persistence is not possible  Comparison with stochastic individual based simulations shows that the PDE approach accurately captures this threshold  Our results illustrate the importance of cultivar mixtures for disease prevention and control     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Hamel F.; Lavigne F.; Roques L.,Journal of Mathematical Biology
24,Reduction of a stochastic model of gene expression: Lagrangian dynamics gives access to basins of attraction as cell types and metastabilty,Differentiation is the process whereby a cell acquires a specific phenotype  by differential gene expression as a function of time  This is thought to result from the dynamical functioning of an underlying Gene Regulatory Network  GRN   The precise path from the stochastic GRN behavior to the resulting cell state is still an open question  In this work we propose to reduce a stochastic model of gene expression  where a cell is represented by a vector in a continuous space of gene expression  to a discrete coarse grained model on a limited number of cell types  We develop analytical results and numerical tools to perform this reduction for a specific model characterizing the evolution of a cell by a system of piecewise deterministic Markov processes  PDMP   Solving a spectral problem  we find the explicit variational form of the rate function associated to a large deviations principle  for any number of genes  The resulting Lagrangian dynamics allows us to define a deterministic limit of which the basins of attraction can be identified to cellular types  In this context the quasipotential  describing the transitions between these basins in the weak noise limit  can be defined as the unique solution of an Hamilton Jacobi equation under a particular constraint  We develop a numerical method for approximating the coarse grained model parameters  and show its accuracy for a symmetric toggle switch network  We deduce from the reduced model an approximation of the stationary distribution of the PDMP system  which appears as a Beta mixture  Altogether those results establish a rigorous frame for connecting GRN behavior to the resulting cellular behavior  including the calculation of the probability of jumps between cell types     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Ventre E.; Espinasse T.; Bréhier C.-E.; Calvez V.; Lepoutre T.; Gandrillon O.,Journal of Mathematical Biology
25,Deterministic and stochastic modeling for PDGF-driven gliomas reveals a classification of gliomas,Motivated by our study of infiltrating dynamics of immune cells into tumors  we propose a stochastic model in terms of Ito stochastic differential equations to study how two parameters  the chemoattractant production rate and the chemotactic coefficient  influence immune cell migration and how these parameters distinguish two types of gliomas  We conduct a detailed analysis of the stochastic model and its deterministic counterpart  The deterministic model can differentiate two types of gliomas according to the range of the chemoattractant production rate as two equilibrium solutions  while the stochastic model also can differentiate two types of gliomas according to the ranges of the chemoattractant production rate and chemotactic coefficient with thresholds as one non zero ergodic invariant measure and one weak persistent state when the noise intensities are small  When the noise intensities are large comparing with the chemotactic coefficient  there is only one type of glioma that corresponds to a non zero ergodic invariant measure  Using our experimental data  numerical simulations are carried out to demonstrate properties of our models  and we give medical interpretations and implications for our analytical results and numerical simulations  This study also confirms some of our results about IDH gliomas     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Phan T.A.; Nguyen H.D.; Tian J.P.,Journal of Mathematical Biology
26,Treatment-induced shrinking of tumour aggregates: a nonlinear volume-filling chemotactic approach,Motivated by experimental observations in  D organoid cultures derived from glioblastoma  we propose a novel mechano transduction mechanism where the introduction of a chemotherapeutic treatment induces mechanical changes at the cell level  We analyse the influence of these individual mechanical changes on the properties of the aggregates obtained at the population level  We employ a nonlinear volume filling chemotactic system of partial differential equations  where the elastic properties of the cells are taken into account through the so called squeezing probability  which depends on the concentration of the treatment in the extracellular microenvironment  We explore two scenarios for the effect of the treatment  first  we suppose that the treatment acts only on the mechanical properties of the cells and  in the second one  we assume it also prevents cell proliferation  We perform a linear stability analysis which enables us to identify the ability of the system to create patterns and fully characterize their size  Moreover  we provide numerical simulations in  D and  D that illustrate the shrinking of the aggregates due to the presence of the treatment     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Almeida L.; Estrada-Rodriguez G.; Oliver L.; Peurichard D.; Poulain A.; Vallette F.,Journal of Mathematical Biology
27,Control with uncertain data of socially structured compartmental epidemic models,The adoption of containment measures to reduce the amplitude of the epidemic peak is a key aspect in tackling the rapid spread of an epidemic  Classical compartmental models must be modified and studied to correctly describe the effects of forced external actions to reduce the impact of the disease  The importance of social structure  such as the age dependence that proved essential in the recent COVID  9 pandemic  must be considered  and in addition  the available data are often incomplete and heterogeneous  so a high degree of uncertainty must be incorporated into the model from the beginning  In this work we address these aspects  through an optimal control formulation of a socially structured epidemic model in presence of uncertain data  After the introduction of the optimal control problem  we formulate an instantaneous approximation of the control that allows us to derive new feedback controlled compartmental models capable of describing the epidemic peak reduction  The need for long term interventions shows that alternative actions based on the social structure of the system can be as effective as the more expensive global strategy  The timing and intensity of interventions  however  is particularly relevant in the case of uncertain parameters on the actual number of infected people  Simulations related to data from the first wave of the recent COVID  9 outbreak in Italy are presented and discussed     0    The Author s  ,Albi G.; Pareschi L.; Zanella M.,Journal of Mathematical Biology
28,The model-specific Markov embedding problem for symmetric group-based models,We study model embeddability  which is a variation of the famous embedding problem in probability theory  when apart from the requirement that the Markov matrix is the matrix exponential of a rate matrix  we additionally ask that the rate matrix follows the model structure  We provide a characterisation of model embeddable Markov matrices corresponding to symmetric group based phylogenetic models  In particular  we provide necessary and sufficient conditions in terms of the eigenvalues of symmetric group based matrices  To showcase our main result on model embeddability  we provide an application to hachimoji models  which are eight state models for synthetic DNA  Moreover  our main result on model embeddability enables us to compute the volume of the set of model embeddable Markov matrices relative to the volume of other relevant sets of Markov matrices within the model     0    The Author s  ,Ardiyansyah M.; Kosta D.; Kubjas K.,Journal of Mathematical Biology
